#a	c	entropy	std
0.09999999999999999	-0.4	0.55587209462642	0.3262745085831938
0.09999999999999999	-0.3	0.5185325495869623	0.3204669436490023
0.09999999999999999	-0.2	0.38544787474134956	0.3086654886103935
0.09999999999999999	-0.1	0.37407653395847384	0.29937205998941285
0.09999999999999999	-0.0	0.3370331420458995	0.2930933796079592
0.09999999999999999	0.099	0.28839513443521525	0.2706354754263817
0.09999999999999999	0.199	0.25792784092637844	0.24734005964738123
0.09999999999999999	0.299	0.22589484355733605	0.2307703873187234
0.09999999999999999	0.399	0.20308149923150062	0.21762904994683047
0.09999999999999999	0.499	0.18311306198232855	0.1854452941814405
0.09999999999999999	0.599	0.16282179035132016	0.16675494849673997
0.09999999999999999	0.699	0.14640551805460025	0.14264435703850653
0.09999999999999999	0.799	0.14639431039513567	0.14887942225048065
0.09999999999999999	0.899	0.11872284424888331	0.10425583606014448
0.09999999999999999	0.999	0.11332426507023663	0.08725147215149995
0.15	-0.999	0.8927300149965559	0.08778013397208108
0.15	-0.9	0.895880633194833	0.0900404232110763
0.15	-0.8	0.8784143119374908	0.13286489472352792
0.15	-0.7	0.8249264174004228	0.1904175851929379
0.15	-0.6	0.7290956565390536	0.2573848429653939
0.15	-0.5	0.6501355718926132	0.2957608620012653
0.15	-0.4	0.5836164151599362	0.32288017276414455
0.15	-0.3	0.4953016253311936	0.325066870826586
0.15	-0.2	0.43125240087975725	0.3175366777091143
0.15	-0.1	0.40473020282709854	0.3202671622104098
0.15	-0.0	0.34195433521763985	0.29736697412434193
0.15	0.099	0.296541544504795	0.2801243454492383
0.15	0.199	0.2784749729739626	0.27471890159701645
0.15	0.299	0.2348830850541831	0.23976616046057778
0.15	0.399	0.2161983745090754	0.21962818587215277
0.15	0.499	0.1869691353523918	0.20199244160592347
0.15	0.599	0.16250146944040994	0.1681144049370403
0.15	0.699	0.14406998511006297	0.14988426827101856
0.15	0.799	0.1253041784474733	0.105382514089986
0.15	0.899	0.12381724935869401	0.10982509313214595
0.15	0.999	0.11345304332972166	0.09015622351605515
0.19999999999999998	-0.999	0.884144965400676	0.08820399359072432
0.19999999999999998	-0.9	0.8822295750156683	0.08666093823476369
0.19999999999999998	-0.8	0.8736077687016051	0.09710883585757656
0.19999999999999998	-0.7	0.8315337917811803	0.17889249833223556
0.19999999999999998	-0.6	0.7766662196856147	0.22228966190716623
0.19999999999999998	-0.5	0.7197852067839592	0.26395735687139166
0.19999999999999998	-0.4	0.6041870559030122	0.31607204898367924
0.19999999999999998	-0.3	0.5265127395379398	0.3258434301283576
0.19999999999999998	-0.2	0.4762900874257554	0.3162254931499239
0.19999999999999998	-0.1	0.4249628666207159	0.3103925579963019
0.19999999999999998	-0.0	0.34906151848446254	0.3009369924593588
0.19999999999999998	0.1	0.3105089909451016	0.28108666931355725
0.19999999999999998	0.199	0.2603867794933056	0.2598750226176315
0.19999999999999998	0.299	0.24714233117504567	0.2572764578004519
0.19999999999999998	0.4	0.20832728429541839	0.22289823833745098
0.19999999999999998	0.499	0.1792477228547164	0.1799319825854588
0.19999999999999998	0.6	0.18055075246027238	0.18967120483905694
0.19999999999999998	0.7	0.14646919869914568	0.13823947022703925
0.19999999999999998	0.799	0.1290427212319984	0.11150805179217275
0.19999999999999998	0.899	0.12635173322310078	0.10828468472891822
0.19999999999999998	0.999	0.11444073425002274	0.08021900662327357
0.25	-0.999	0.8816029208397751	0.0861407765002847
0.25	-0.9	0.8960512698510064	0.10256070560567569
0.25	-0.8	0.8670319710272377	0.11413776098613672
0.25	-0.7	0.8134342811058913	0.1870006102991582
0.25	-0.6	0.7721443388661784	0.2261084357651006
0.25	-0.5	0.6884551814212678	0.2875741433495858
0.25	-0.4	0.6388414096458923	0.2937620935075178
0.25	-0.3	0.5675467251019661	0.325202531618344
0.25	-0.2	0.48031356354657173	0.32289624694420577
0.25	-0.1	0.46419418491999126	0.3212142999261475
0.25	-0.0	0.3980592312203459	0.31475686898137123
0.25	0.1	0.3849199233398057	0.31455043628590207
0.25	0.2	0.2792554150527594	0.2696052774919766
0.25	0.3	0.2266661555105448	0.23416268489695014
0.25	0.4	0.20246485105992135	0.2108375502860519
0.25	0.5	0.20418833219029406	0.21776361029604913
0.25	0.6	0.18729467836362262	0.19392871032794382
0.25	0.7	0.1461532614256885	0.14065000458414964
0.25	0.8	0.1278706105867004	0.10846908695838343
0.25	0.9	0.12715170871047884	0.10435322590168017
0.25	0.999	0.11043505829437888	0.07404571044091145
0.3	-0.999	0.8677660212934938	0.0796420647375884
0.3	-0.9	0.8725495005944811	0.09071421590390173
0.3	-0.8	0.8550458198365551	0.11688949005235845
0.3	-0.7	0.8370095548486503	0.1786747000338085
0.3	-0.6	0.7881829575099688	0.20309816825819646
0.3	-0.5	0.7197813804321526	0.2713770223228871
0.3	-0.4	0.6171408901016419	0.29986854782457695
0.3	-0.3	0.573367760125157	0.3166895546047786
0.3	-0.2	0.5118618017629728	0.3228697903226228
0.3	-0.1	0.4666548142951033	0.32372811273663066
0.3	-0.0	0.3757061572677572	0.3074216255747677
0.3	0.1	0.3354172804069468	0.30061719791496333
0.3	0.2	0.3574202360699293	0.31916000324512406
0.3	0.3	0.23789972553244706	0.24126706318001823
0.3	0.4	0.23166881022590166	0.24042426491411456
