#a	c	gamma	std
0.25	0.6	0.14392558219199553	0.05307978847688798
0.25	0.7	0.14874294682359412	0.05882425862230749
0.25	0.8	0.16025637831330936	0.0583821176178534
0.25	0.9	0.15625548402373568	0.05589987234494125
0.25	0.999	0.14280848197764776	0.06080975184132723
0.3	-0.999	0.1012875120281909	0.05808042477322341
0.3	-0.9	0.13786419123482965	0.05326922528694263
0.3	-0.8	0.15423658782485364	0.05559192324759746
0.3	-0.7	0.1622718934932955	0.058387910305915176
0.3	-0.6	0.1648744179572349	0.060156033333281254
0.3	-0.5	0.1694467796060834	0.06450803248219225
0.3	-0.4	0.16862522498926688	0.05671635505505302
0.3	-0.3	0.1816634815641002	0.05884742868349287
0.3	-0.2	0.15965676990084401	0.0651704898384915
0.3	-0.1	0.17503692922892589	0.06122117952577986
0.3	-0.0	0.1811817140642392	0.05867848349718528
0.3	0.1	0.17950691456147094	0.06368850752410242
0.3	0.2	0.17840946220613288	0.07264598137320773
0.3	0.3	0.1860926661277564	0.0730574608443462
0.3	0.4	0.17267715503551292	0.06539102191834624
0.3	0.5	0.16689157587518688	0.0684786694787186
0.3	0.6	0.17947423743453036	0.06283961957641468
0.3	0.7	0.17311118988342705	0.07201730662270284
0.3	0.8	0.1838990639839293	0.0654644417510239
0.3	0.9	0.1789291473411571	0.06280892974813934
0.3	0.999	0.1829164835977953	0.0652277739982205
0.35000000000000003	-0.999	0.1308351038771308	0.06667409735973755
0.35000000000000003	-0.9	0.16128464247211158	0.07159866691814429
0.35000000000000003	-0.8	0.17624451614585637	0.0583906015125857
0.35000000000000003	-0.7	0.17773775468343808	0.05635009190183995
0.35000000000000003	-0.6	0.18881842212787597	0.06296260462287273
0.35000000000000003	-0.5	0.17688133945389012	0.0563408062263846
0.35000000000000003	-0.4	0.1975830463381368	0.06557187258574199
0.35000000000000003	-0.3	0.19867830631969638	0.06776155942611475
0.35000000000000003	-0.2	0.18984462317776982	0.072420050830156
0.35000000000000003	-0.1	0.20200035565971755	0.06916456046923615
0.35000000000000003	-0.0	0.1980981281045034	0.06947278594292401
0.35000000000000003	0.1	0.19494107971737196	0.06387157090087384
0.35000000000000003	0.2	0.19982326414747076	0.07825393084002136
0.35000000000000003	0.3	0.19150590675385845	0.07234786372826882
0.35000000000000003	0.4	0.19121004354977514	0.06946760471251918
0.35000000000000003	0.5	0.18893603787570462	0.07534136963836423
0.35000000000000003	0.6	0.20924492789082963	0.0800302114031999
0.35000000000000003	0.7	0.20362592467842025	0.06603691256348164
0.35000000000000003	0.8	0.19729403902895412	0.06707071360570684
0.35000000000000003	0.9	0.2195784845108849	0.0740838350033406
0.35000000000000003	0.999	0.20190995578866877	0.07471035934501631
0.39999999999999997	-0.999	0.15487771163140343	0.07261965729995686
0.39999999999999997	-0.9	0.17119736856891038	0.06950735258615587
0.39999999999999997	-0.8	0.19565961526347236	0.061040076638588396
0.39999999999999997	-0.7	0.2071825845678402	0.07276869769661459
0.39999999999999997	-0.6	0.20459045213514418	0.07054533463590813
0.39999999999999997	-0.5	0.21790623442762944	0.06730987969250525
0.39999999999999997	-0.4	0.20617906106376468	0.0776177231011215
0.39999999999999997	-0.3	0.22714004625848447	0.08005530328351602
0.39999999999999997	-0.2	0.23424837266769608	0.0833829589027887
0.39999999999999997	-0.1	0.22395734839188824	0.07703036968725901
0.39999999999999997	-0.0	0.22464349228836406	0.07249012715665229
0.39999999999999997	0.1	0.2407990434372504	0.07413371668041928
0.39999999999999997	0.2	0.2187942974823086	0.07985151030886933
0.39999999999999997	0.3	0.22678650768648057	0.07617778636430887
0.39999999999999997	0.4	0.23338211906573023	0.08894055996727003
0.39999999999999997	0.5	0.2313607563781794	0.09013014621931213
0.39999999999999997	0.6	0.2369298269982855	0.08713578898620553
0.39999999999999997	0.7	0.23318044375986532	0.09380744564131717
0.39999999999999997	0.8	0.22628739720715055	0.08164786269414989
0.39999999999999997	0.9	0.22246741135447246	0.0744279541698096
0.39999999999999997	0.999	0.22889444575115075	0.07969540481250748
0.44999999999999996	-0.999	0.16812197232027518	0.07892808147791282
0.44999999999999996	-0.9	0.20221778677182004	0.06035509967027146
0.44999999999999996	-0.8	0.2285211087935293	0.06632104849126433
