#a	c	mean	std
0.25	0.8	0.4058112876549641	0.0694294294369253
0.25	0.9	0.40003455463658844	0.06940633091226864
0.25	0.999	0.39150393032362635	0.07423149628675593
0.3	-0.999	0.5965933218204758	0.10484864795424517
0.3	-0.9	0.5732279816486776	0.10904902748608165
0.3	-0.8	0.5703297658356585	0.09843288697166896
0.3	-0.7	0.5577731421938191	0.09102996816438602
0.3	-0.6	0.5396115154507621	0.09272846668154372
0.3	-0.5	0.5291636615255901	0.08322181961798265
0.3	-0.4	0.5217837838225156	0.07203889891055133
0.3	-0.3	0.5071671110351422	0.06992866583047533
0.3	-0.2	0.5024720919170076	0.07696750300448059
0.3	-0.1	0.48582833245738044	0.06841143375194
0.3	-0.0	0.4686501562068389	0.07520452863719253
0.3	0.1	0.460707780239631	0.07093080268064632
0.3	0.2	0.4470735861592442	0.06759910229595474
0.3	0.3	0.43618289205945227	0.0701485775842891
0.3	0.4	0.43559844154625427	0.06625781759529978
0.3	0.5	0.4327868677226957	0.06664034272683331
0.3	0.6	0.40794080448616843	0.06571918727018472
0.3	0.7	0.4023913315786661	0.07086644123648139
0.3	0.8	0.3945417838648441	0.0654992049639977
0.3	0.9	0.38228315492932496	0.07085845344891531
0.3	0.999	0.3682134583857088	0.07249468637572835
0.35000000000000003	-0.999	0.5713130759970515	0.11366300679447036
0.35000000000000003	-0.9	0.5491666858222448	0.12395823910951423
0.35000000000000003	-0.8	0.5453349730010247	0.10561149632534755
0.35000000000000003	-0.7	0.5438811099083979	0.09237588846127968
0.35000000000000003	-0.6	0.5274762760017574	0.09630030995135715
0.35000000000000003	-0.5	0.5246124719461132	0.08084160241971859
0.35000000000000003	-0.4	0.4970486343043616	0.08687794386727772
0.35000000000000003	-0.3	0.4925223447491412	0.07354992454846453
0.35000000000000003	-0.2	0.4927901255659886	0.07856909262533474
0.35000000000000003	-0.1	0.47092248541744897	0.07341517570656567
0.35000000000000003	-0.0	0.4620090349817022	0.07084643799516586
0.35000000000000003	0.1	0.4561851860227991	0.06854939566753866
0.35000000000000003	0.2	0.44235370012575387	0.07158023384410647
0.35000000000000003	0.3	0.43875081305033437	0.06724018116093154
0.35000000000000003	0.4	0.424430227713451	0.07024397780948644
0.35000000000000003	0.5	0.41524644668951877	0.07582895934784488
0.35000000000000003	0.6	0.3968396273695036	0.07210056175471323
0.35000000000000003	0.7	0.39240905619341576	0.06704974477500651
0.35000000000000003	0.8	0.3834645801392289	0.07028924839235813
0.35000000000000003	0.9	0.35277860090712254	0.07135147158216357
0.35000000000000003	0.999	0.36712402926082244	0.06703508924096754
0.39999999999999997	-0.999	0.5427118172533318	0.12541585057332227
0.39999999999999997	-0.9	0.55396133114498	0.11528958828282403
0.39999999999999997	-0.8	0.533386576183475	0.10275975781329058
0.39999999999999997	-0.7	0.5144444816195383	0.10537538936158956
0.39999999999999997	-0.6	0.5266482159592549	0.08775875421282345
0.39999999999999997	-0.5	0.5064872386259722	0.08231267202153958
0.39999999999999997	-0.4	0.4929762760635944	0.09094956408814321
0.39999999999999997	-0.3	0.46899982962335063	0.08528492235874487
0.39999999999999997	-0.2	0.461123286451864	0.07467826157967589
0.39999999999999997	-0.1	0.4582700359427176	0.06747503206640318
0.39999999999999997	-0.0	0.4476960584429529	0.0676418569769195
0.39999999999999997	0.1	0.42400736075912515	0.06720276396294009
0.39999999999999997	0.2	0.4267540823234069	0.07030765862119155
0.39999999999999997	0.3	0.4117195605001484	0.06836367637411996
0.39999999999999997	0.4	0.4045378895976522	0.07135975542588606
0.39999999999999997	0.5	0.3960670726254409	0.08302454600007035
0.39999999999999997	0.6	0.38490552111637844	0.06884968270957749
0.39999999999999997	0.7	0.3689365008248157	0.07518247658840464
0.39999999999999997	0.8	0.36577993502447326	0.07208703566302072
0.39999999999999997	0.9	0.3590302160392883	0.07249837465698368
0.39999999999999997	0.999	0.3470155722720971	0.07061097430851004
0.44999999999999996	-0.999	0.5445130173421538	0.11923932381784916
0.44999999999999996	-0.9	0.5262843970813298	0.12104219211477585
0.44999999999999996	-0.8	0.5045040090876068	0.11088069941244391
0.44999999999999996	-0.7	0.49206942922113517	0.10928986439533978
0.44999999999999996	-0.6	0.49399762428684557	0.09046664035008185
0.44999999999999996	-0.5	0.49072658825116633	0.07523460513529091
0.44999999999999996	-0.4	0.47281334522611956	0.07577945195183541
0.44999999999999996	-0.3	0.46157178944099464	0.07739337903105496
0.44999999999999996	-0.2	0.4541637999161184	0.07369087327308096
0.44999999999999996	-0.1	0.43598146878039756	0.07342026718098307
0.44999999999999996	-0.0	0.42705908083325717	0.07377803099264081
0.44999999999999996	0.1	0.4179257249973226	0.06539042524147096
0.44999999999999996	0.2	0.41187014803054256	0.06802551174061557
0.44999999999999996	0.3	0.4028166775920628	0.06872700671972598
0.44999999999999996	0.4	0.3902960817209627	0.06973012985762031
0.44999999999999996	0.5	0.3891343452794415	0.07430524707297784
0.44999999999999996	0.6	0.37244980756529533	0.06585563001964481
0.44999999999999996	0.7	0.36817249952500597	0.07641629990984919
0.44999999999999996	0.8	0.35868094937229617	0.06663197350641596
