#a	c	gamma	std
0.09999999999999999	-0.4	0.06260961436925686	0.033349953543908344
0.09999999999999999	-0.3	0.06018408263343632	0.03054332668192942
0.09999999999999999	-0.2	0.06053004497828002	0.02837685336855849
0.09999999999999999	-0.1	0.0629297838311238	0.030880646801303573
0.09999999999999999	-0.0	0.058278156223495955	0.03238766827538277
0.09999999999999999	0.099	0.06363208120695603	0.030063032079480228
0.09999999999999999	0.199	0.0647507409877235	0.028381032287401017
0.09999999999999999	0.299	0.06041351841208948	0.03337844286009102
0.09999999999999999	0.399	0.06808700937695947	0.03190691310679277
0.09999999999999999	0.499	0.060484477467196554	0.03323256277185197
0.09999999999999999	0.599	0.06337994206326916	0.02803472448965152
0.09999999999999999	0.699	0.06286781092868614	0.03293253540969265
0.09999999999999999	0.799	0.0701023155810254	0.03180033858399167
0.09999999999999999	0.899	0.06875529442829231	0.03201735062684805
0.09999999999999999	0.999	0.06762395826516136	0.03763161189322982
0.15	-0.999	0.038706343047765664	0.027834473402863682
0.15	-0.9	0.06791842464668024	0.030207253906686476
0.15	-0.8	0.07016354927310504	0.02760343208903166
0.15	-0.7	0.07547369490846692	0.03030470715929155
0.15	-0.6	0.08355607174070698	0.03532070452866561
0.15	-0.5	0.08796053393406807	0.037418016142604926
0.15	-0.4	0.09037136748675421	0.034964858316013404
0.15	-0.3	0.08091776754551433	0.033757818882538385
0.15	-0.2	0.0902047043506962	0.03993790877276808
0.15	-0.1	0.09269016222680172	0.04621990943931228
0.15	-0.0	0.09153658302802274	0.041720901611763846
0.15	0.099	0.08965070215209597	0.0344122063745418
0.15	0.199	0.0918216965772831	0.03558741964902447
0.15	0.299	0.09308660867553983	0.03912222613370404
0.15	0.399	0.09317811528005521	0.03927814736521194
0.15	0.499	0.09311948421711774	0.038810766107000405
0.15	0.599	0.0864649451972606	0.03873616221164332
0.15	0.699	0.0950480066888176	0.040566398531693644
0.15	0.799	0.09536270324485384	0.04090148281289149
0.15	0.899	0.10029323160901309	0.04436047289038126
0.15	0.999	0.09951291204379765	0.04637090801499278
0.19999999999999998	-0.999	0.06090077368054287	0.038141466164744266
0.19999999999999998	-0.9	0.08642260293894212	0.03145191054421269
0.19999999999999998	-0.8	0.09665354701698409	0.03475563864450487
0.19999999999999998	-0.7	0.09809233255177326	0.037117838643439836
0.19999999999999998	-0.6	0.11094451856910285	0.04092772666459569
0.19999999999999998	-0.5	0.10825343824461783	0.04398283764280387
0.19999999999999998	-0.4	0.10409826230649759	0.043910521836630904
0.19999999999999998	-0.3	0.11166697760899198	0.04414881701926675
0.19999999999999998	-0.2	0.12525277319895323	0.04879425836312737
0.19999999999999998	-0.1	0.1091966496949498	0.04178301339551817
0.19999999999999998	-0.0	0.12111518434263523	0.052478129690180494
0.19999999999999998	0.1	0.1244277422428895	0.04912226188948281
0.19999999999999998	0.199	0.11438875154886242	0.04898311171825611
0.19999999999999998	0.299	0.1229508348002237	0.047606691021430766
0.19999999999999998	0.4	0.12100657886417375	0.05551176301665901
0.19999999999999998	0.499	0.12315776432254841	0.041134447344487804
0.19999999999999998	0.6	0.13177745578297104	0.04593427667331823
0.19999999999999998	0.7	0.11902257876015077	0.04440890270858864
0.19999999999999998	0.799	0.12492033960560567	0.049920688048509056
0.19999999999999998	0.899	0.11816500371925462	0.04921983469245385
0.19999999999999998	0.999	0.11916671358924552	0.04776292219426871
0.25	-0.999	0.07361698840993729	0.04311303767138813
0.25	-0.9	0.10297118673706601	0.03940694992403203
0.25	-0.8	0.1158725928622313	0.042635997727905696
0.25	-0.7	0.11834946109902138	0.04251659609447814
0.25	-0.6	0.12597318234666996	0.04806424353653297
0.25	-0.5	0.1365721245025978	0.05503390701813398
0.25	-0.4	0.12710878631494046	0.05445097101713723
0.25	-0.3	0.13366569022529715	0.05069371588906627
0.25	-0.2	0.14529680781497556	0.0571817592410676
0.25	-0.1	0.13953441668243144	0.05718267228507764
0.25	-0.0	0.14112806225759306	0.061823687651769245
0.25	0.1	0.14600583589173122	0.050410208576941645
0.25	0.2	0.14776232653672158	0.0534288769231755
0.25	0.3	0.14523810672159704	0.059648813533306116
0.25	0.4	0.1464779870318924	0.055651135252649093
0.25	0.5	0.1286212866368654	0.05105531783729308
0.25	0.6	0.14189371105681928	0.053138331618023026
0.25	0.7	0.14726067737891402	0.05872669994171691
0.25	0.8	0.15862706400767754	0.05806116526501435
0.25	0.9	0.15570992458974575	0.055941675752846275
0.25	0.999	0.14280229599127098	0.06080975749017234
0.3	-0.999	0.0796759953941814	0.04444710987805109
