#a	c	var	std
0.15	-0.0	0.017304673229420024	0.0031337938464411877
0.15	0.099	0.017773795611367466	0.0036104583385442868
0.15	0.199	0.018461350474002724	0.003925416124892227
0.15	0.299	0.01893280283126819	0.003851540362470127
0.15	0.399	0.019363029029265715	0.004542436615628387
0.15	0.499	0.019944913729653558	0.0046253171309068326
0.15	0.599	0.020419063667063333	0.00465965071338049
0.15	0.699	0.020056807511902103	0.004901634008118701
0.15	0.799	0.02059089031955201	0.0057843864867688595
0.15	0.899	0.020932714473140473	0.005629641557766523
0.15	0.999	0.020796990914987854	0.006339868634883724
0.19999999999999998	-0.999	0.004089350836383975	0.0014823886141085987
0.19999999999999998	-0.9	0.006390820561969832	0.0016023474651673726
0.19999999999999998	-0.8	0.008631289195061806	0.0017433871164751844
0.19999999999999998	-0.7	0.010240201801783377	0.0017352906518967347
0.19999999999999998	-0.6	0.012202479637842208	0.0019807369690681745
0.19999999999999998	-0.5	0.013338266525221078	0.002294991788800721
0.19999999999999998	-0.4	0.014518135228643874	0.002375729780099364
0.19999999999999998	-0.3	0.015536569515873337	0.002535154051999222
0.19999999999999998	-0.2	0.016483716503330387	0.0030357682770839113
0.19999999999999998	-0.1	0.017306403064295574	0.0031197019820308736
0.19999999999999998	-0.0	0.017769740043704605	0.003408018294302983
0.19999999999999998	0.1	0.018481814846282703	0.003794758181301339
0.19999999999999998	0.199	0.018571986629528556	0.003826439255743349
0.19999999999999998	0.299	0.019386799097510475	0.004273182829511244
0.19999999999999998	0.4	0.019788745424935347	0.004415321290780685
0.19999999999999998	0.499	0.019849745078915276	0.00494790564344384
0.19999999999999998	0.6	0.020439935432731395	0.005004745784010872
0.19999999999999998	0.7	0.020588825495068866	0.005126607666968711
0.19999999999999998	0.799	0.02034548759097415	0.006073876803867041
0.19999999999999998	0.899	0.021106840744506836	0.0061056897001058475
0.19999999999999998	0.999	0.021008016232935564	0.006087328530318273
0.25	-0.999	0.004526606919966964	0.00177045707258885
0.25	-0.9	0.006721730015591419	0.0015033519134311905
0.25	-0.8	0.00895825188670195	0.0019074890644998489
0.25	-0.7	0.01084958856154166	0.002117539543329096
0.25	-0.6	0.012443321017586	0.0021152623379615556
0.25	-0.5	0.014181293166507455	0.0026402785368888288
0.25	-0.4	0.015226760310938647	0.0026585468626038177
0.25	-0.3	0.016180191691094067	0.002952627584711321
0.25	-0.2	0.01704825324386055	0.0030924437344937695
0.25	-0.1	0.018013500978424305	0.0031554676883723226
0.25	-0.0	0.018147198465762838	0.0033678473338936287
0.25	0.1	0.019107083993352116	0.0037803059926603457
0.25	0.2	0.01885608023770706	0.004095079699830171
0.25	0.3	0.019663689566510413	0.004272422430031159
0.25	0.4	0.01974508701886051	0.00453040856120816
0.25	0.5	0.019821345922528676	0.00431856076504496
0.25	0.6	0.020582444461627825	0.005088948540106676
0.25	0.7	0.020034906005806298	0.005523279371436592
0.25	0.8	0.0210225840878241	0.005443577259194313
0.25	0.9	0.020924390222019723	0.006356119311510017
0.25	0.999	0.020660636912027006	0.006484202069656079
0.3	-0.999	0.00458390436475809	0.001712890943265117
0.3	-0.9	0.007148717756737025	0.0017920004188547855
0.3	-0.8	0.009204728217812819	0.001834498299719167
0.3	-0.7	0.011242456901619272	0.0021914751123806833
