#a	c	entropy	std
0.39999999999999997	0.7	0.13124792858489365	0.09825612791695292
0.39999999999999997	0.8	0.130763318728367	0.10040346300740709
0.39999999999999997	0.9	0.11798021785031088	0.09134886539952033
0.39999999999999997	0.999	0.11187333335794605	0.06997266111170254
0.44999999999999996	-0.999	0.15763047644383218	0.0959532564236315
0.44999999999999996	-0.9	0.16885414791696526	0.11765331240763659
0.44999999999999996	-0.8	0.1637750322503491	0.10822049963794529
0.44999999999999996	-0.7	0.16709333000753393	0.1244816752092483
0.44999999999999996	-0.6	0.17359191108520022	0.13816342807948362
0.44999999999999996	-0.5	0.16761755165742576	0.10266112969188426
0.44999999999999996	-0.4	0.1714346701867027	0.13026639029143547
0.44999999999999996	-0.3	0.15740930959881896	0.10032988070813059
0.44999999999999996	-0.2	0.15768579922040607	0.11800386214040605
0.44999999999999996	-0.1	0.1713643082816465	0.13218868289583238
0.44999999999999996	-0.0	0.16382654496437551	0.12651565778849158
0.44999999999999996	0.1	0.1461638442578298	0.1118964957234685
0.44999999999999996	0.2	0.1685242686563925	0.13663964539357673
0.44999999999999996	0.3	0.13722084417735253	0.09003788619545859
0.44999999999999996	0.4	0.13814847690391605	0.08850175726832017
0.44999999999999996	0.5	0.13662078560679447	0.09802356426994714
0.44999999999999996	0.6	0.13186612756246957	0.09562406271992101
0.44999999999999996	0.7	0.12856048409277043	0.09477478046951193
0.44999999999999996	0.8	0.13717732384311268	0.11573435715193098
0.44999999999999996	0.9	0.11944150384163914	0.0872498149281146
0.44999999999999996	0.999	0.11240987649111911	0.07433545192600127
0.5	-0.999	0.1668725888844181	0.10690780302029293
0.5	-0.9	0.1670752695870661	0.12420556289009267
0.5	-0.8	0.15267279902153943	0.0918584934779718
0.5	-0.7	0.1591992650665918	0.1305570332390375
0.5	-0.6	0.16946158166925632	0.12046390925187267
0.5	-0.5	0.17034131591768187	0.1264517021198352
0.5	-0.4	0.1656552905356507	0.11207350452703618
0.5	-0.3	0.16158630003876343	0.1091801628313441
0.5	-0.2	0.1646658173758298	0.10752347766798016
0.5	-0.1	0.16331218084982016	0.11619530762422027
0.5	-0.0	0.16446179306946146	0.12470931194204958
0.5	0.1	0.1610283043683167	0.11724251165276303
0.5	0.2	0.15925169425118874	0.12004702143301269
0.5	0.3	0.1542865285158222	0.12964315253100603
0.5	0.4	0.13866908697396288	0.08752315932330214
0.5	0.5	0.14575343587448406	0.10630297045489287
0.5	0.6	0.14030996071770896	0.10738877630704055
0.5	0.7	0.13265859694116303	0.09793104167876311
0.5	0.8	0.1334335221811093	0.10484887832261934
0.5	0.9	0.1256718542553584	0.09457456618782582
0.5	0.999	0.10944445645549246	0.07082186674701821
0.5499999999999999	-0.999	0.16874463897391814	0.11832699193148664
0.5499999999999999	-0.9	0.15875410474639243	0.10974038342139063
0.5499999999999999	-0.8	0.17548343205121184	0.1251145865053993
0.5499999999999999	-0.7	0.15629902905562965	0.10538017515143983
0.5499999999999999	-0.6	0.16557133409378136	0.11527578391704489
0.5499999999999999	-0.5	0.16801763689263896	0.12132926594888693
0.5499999999999999	-0.4	0.1692371639508599	0.10614432685544016
0.5499999999999999	-0.3	0.16626772913572346	0.11191587208882958
0.5499999999999999	-0.2	0.18789787676328246	0.14825095758891824
0.5499999999999999	-0.1	0.16681940247992577	0.12325230844113524
0.5499999999999999	-0.0	0.15226272283349424	0.09805377632892831
