#n_pop	landscape_idx	replicate	t	entropy	haplotype_diversity	nucleotide_diversity	strains	n_maxima	n_minima	maximum	minimum	gamma	mean	var	fitness_wildtype	mean_phenotypic_distance	tg0	n0	tg1	n1	tg2	n2	tg3	n3	tg4	n4	tg5	n5	tg6	n6	tg7	n7	tg8	n8	tg9	n9
1000	0	0	62	1.0338106626976744	0.5784239999999999	0.6639639999999999	9	3	3	1.2324988051870762	0.6466178169129831	0.3517053478788475	0.8038346771395094	0.015951536918100806	0.8144581502632252	1.1178667029644003	18	472	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	63	1.0267544708738505	0.5753479999999999	0.6598219999999999	10	3	3	1.244323564005422	0.6457651616424696	0.35911388499245117	0.8047426154197591	0.016395546519408888	0.8111230248122123	1.1201625322288356	18	467	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	64	1.0124074440921114	0.5698599999999998	0.6458980000000001	11	3	3	1.231955359487215	0.6458872453656485	0.3521583830201655	0.803050707068265	0.01594494092144716	0.8133952042098762	1.116115965952267	18	477	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	65	1.0036676418633428	0.5684139999999999	0.642546	10	3	3	1.2345045537311246	0.6456154314510587	0.35381264893731645	0.803161589320185	0.016039218057291027	0.8125371775496398	1.1164012766218954	18	473	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	66	1.0354409900159813	0.5723459999999998	0.6548900000000002	11	3	2	1.2247032625365863	0.6469855955860386	0.34729377354952773	0.8030487207801624	0.015684051721379766	0.8163497941042456	1.115305883367544	18	483	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	67	1.02659224020991	0.5681879999999998	0.6469380000000001	11	3	3	1.1843290866188219	0.6506993864422242	0.3271242709929017	0.8007224968990663	0.014574259517524446	0.8290051301851771	1.0975343594949651	16	398	18	521	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	68	1.0191420478764905	0.5614659999999998	0.6382900000000001	10	3	3	1.1710867041447481	0.6524432523276855	0.32210510080292704	0.800466495856072	0.014328076308492976	0.8339866985032288	1.0877052461525991	16	381	18	540	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	69	0.9980096009191761	0.5519199999999997	0.6211860000000001	10	3	3	1.1676485885357861	0.6519445567264681	0.3214262564639382	0.79948258561093	0.014261642680514552	0.8337767566657722	1.0852728024288965	16	377	18	552	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	70	0.949508359912208	0.5330779999999999	0.5961460000000001	9	3	3	1.149426272737805	0.653948299213893	0.316765101921121	0.7987485431715222	0.014028853476083625	0.8400061354230767	1.066646399684932	16	355	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	71	0.9457661504356123	0.529312	0.5947579999999999	9	3	3	1.1451841668521325	0.6548425577248571	0.3158802807951675	0.7989901611093717	0.014000613857797384	0.8421322331029223	1.0631024447688011	16	345	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	72	0.9220505875697563	0.5286139999999999	0.5894759999999999	9	3	3	1.1522116394631239	0.6525560142605779	0.3176948971037598	0.7978135612049713	0.014035738351076188	0.8373380531760468	1.072250084556314	16	356	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
