#a	c	min	max
0.6	-0.0	1	23
0.6	0.1	1	23
0.6	0.2	1	22
0.6	0.3	1	23
0.6	0.4	1	22
0.6	0.5	1	23
0.6	0.6	1	21
0.6	0.7	1	21
0.6	0.8	1	20
0.6	0.9	1	20
0.6	0.999	1	18
0.65	-0.999	2	26
0.65	-0.9	2	26
0.65	-0.8	2	27
0.65	-0.7	2	28
0.65	-0.6	2	25
0.65	-0.5	2	25
0.65	-0.4	2	25
0.65	-0.3	1	25
0.65	-0.2	1	26
0.65	-0.1	1	23
0.65	-0.0	1	23
0.65	0.1	1	26
0.65	0.2	1	23
0.65	0.3	1	24
0.65	0.4	1	21
0.65	0.5	1	22
0.65	0.6	1	20
0.65	0.7	1	21
0.65	0.8	1	18
0.65	0.9	1	18
0.65	0.999	1	20
0.7000000000000001	-0.999	2	27
0.7000000000000001	-0.9	2	27
0.7000000000000001	-0.8	2	26
0.7000000000000001	-0.7	2	29
0.7000000000000001	-0.6	2	27
0.7000000000000001	-0.5	2	26
0.7000000000000001	-0.4	2	26
0.7000000000000001	-0.3	2	25
0.7000000000000001	-0.2	1	25
0.7000000000000001	-0.1	1	24
0.7000000000000001	-0.0	1	26
0.7000000000000001	0.1	1	24
0.7000000000000001	0.2	1	23
0.7000000000000001	0.3	1	22
0.7000000000000001	0.4	1	22
0.7000000000000001	0.5	1	21
0.7000000000000001	0.6	1	20
0.7000000000000001	0.7	1	20
0.7000000000000001	0.8	1	21
0.7000000000000001	0.9	1	20
0.7000000000000001	0.999	1	19
0.7499999999999999	-0.999	2	26
0.7499999999999999	-0.9	2	26
0.7499999999999999	-0.8	2	27
0.7499999999999999	-0.7	2	27
0.7499999999999999	-0.6	2	27
0.7499999999999999	-0.5	2	26
0.7499999999999999	-0.4	2	25
0.7499999999999999	-0.3	1	27
0.7499999999999999	-0.2	2	25
0.7499999999999999	-0.1	1	28
0.7499999999999999	-0.0	1	23
0.7499999999999999	0.1	1	25
0.7499999999999999	0.2	1	26
0.7499999999999999	0.3	1	23
0.7499999999999999	0.4	1	22
0.7499999999999999	0.5	1	21
0.7499999999999999	0.6	1	21
0.7499999999999999	0.7	1	21
0.7499999999999999	0.8	1	21
0.7499999999999999	0.9	1	21
0.7499999999999999	0.999	1	19
0.7999999999999999	-0.999	2	26
0.7999999999999999	-0.9	2	25
0.7999999999999999	-0.8	2	28
0.7999999999999999	-0.7	2	26
0.7999999999999999	-0.6	2	25
0.7999999999999999	-0.5	2	26
0.7999999999999999	-0.4	2	27
0.7999999999999999	-0.3	2	27
0.7999999999999999	-0.2	2	25
0.7999999999999999	-0.1	1	25
0.7999999999999999	-0.0	1	25
0.7999999999999999	0.1	1	23
0.7999999999999999	0.2	1	22
0.7999999999999999	0.3	1	23
0.7999999999999999	0.4	1	24
0.7999999999999999	0.5	1	22
0.7999999999999999	0.6	1	25
0.7999999999999999	0.7	1	23
0.7999999999999999	0.8	1	21
0.7999999999999999	0.9	1	19
0.7999999999999999	0.999	1	20
0.85	-0.999	2	27
