#a	c	min	max
0.19999999999999998	0.899	1	11
0.19999999999999998	0.999	1	11
0.25	-0.999	2	21
0.25	-0.9	2	19
0.25	-0.8	1	17
0.25	-0.7	1	17
0.25	-0.6	1	18
0.25	-0.5	1	15
0.25	-0.4	1	16
0.25	-0.3	1	16
0.25	-0.2	1	14
0.25	-0.1	1	16
0.25	-0.0	1	14
0.25	0.1	1	13
0.25	0.2	1	14
0.25	0.3	1	13
0.25	0.4	1	13
0.25	0.5	1	15
0.25	0.6	1	14
0.25	0.7	1	12
0.25	0.8	1	11
0.25	0.9	1	14
0.25	0.999	1	12
0.3	-0.999	2	18
0.3	-0.9	2	17
0.3	-0.8	1	18
0.3	-0.7	1	16
0.3	-0.6	1	16
0.3	-0.5	1	16
0.3	-0.4	1	16
0.3	-0.3	1	16
0.3	-0.2	1	16
0.3	-0.1	1	15
0.3	-0.0	1	15
0.3	0.1	1	13
0.3	0.2	1	13
0.3	0.3	1	15
0.3	0.4	1	15
0.3	0.5	1	13
0.3	0.6	1	13
0.3	0.7	1	13
0.3	0.8	1	12
0.3	0.9	1	11
0.3	0.999	1	12
0.35000000000000003	-0.999	2	20
0.35000000000000003	-0.9	2	20
0.35000000000000003	-0.8	1	18
0.35000000000000003	-0.7	1	17
0.35000000000000003	-0.6	1	17
0.35000000000000003	-0.5	1	17
0.35000000000000003	-0.4	1	16
0.35000000000000003	-0.3	1	15
0.35000000000000003	-0.2	1	15
0.35000000000000003	-0.1	1	13
0.35000000000000003	-0.0	1	14
0.35000000000000003	0.1	1	14
0.35000000000000003	0.2	1	13
0.35000000000000003	0.3	1	14
0.35000000000000003	0.4	1	12
0.35000000000000003	0.5	1	12
0.35000000000000003	0.6	1	12
0.35000000000000003	0.7	1	12
0.35000000000000003	0.8	1	12
0.35000000000000003	0.9	1	11
0.35000000000000003	0.999	1	11
0.39999999999999997	-0.999	2	19
0.39999999999999997	-0.9	2	17
0.39999999999999997	-0.8	1	17
0.39999999999999997	-0.7	1	17
0.39999999999999997	-0.6	1	16
0.39999999999999997	-0.5	1	17
0.39999999999999997	-0.4	1	15
0.39999999999999997	-0.3	1	16
0.39999999999999997	-0.2	1	14
0.39999999999999997	-0.1	1	15
0.39999999999999997	-0.0	1	15
0.39999999999999997	0.1	1	13
0.39999999999999997	0.2	1	14
0.39999999999999997	0.3	1	14
0.39999999999999997	0.4	1	14
0.39999999999999997	0.5	1	13
0.39999999999999997	0.6	1	13
0.39999999999999997	0.7	1	12
0.39999999999999997	0.8	1	12
0.39999999999999997	0.9	1	12
0.39999999999999997	0.999	1	11
0.44999999999999996	-0.999	2	19
0.44999999999999996	-0.9	2	18
0.44999999999999996	-0.8	1	18
0.44999999999999996	-0.7	1	18
0.44999999999999996	-0.6	1	16
0.44999999999999996	-0.5	1	17
0.44999999999999996	-0.4	1	15
0.44999999999999996	-0.3	1	15
0.44999999999999996	-0.2	1	15
0.44999999999999996	-0.1	1	16
0.44999999999999996	-0.0	1	16
0.44999999999999996	0.1	1	15
0.44999999999999996	0.2	1	15
0.44999999999999996	0.3	1	14
0.44999999999999996	0.4	1	12
0.44999999999999996	0.5	1	13
0.44999999999999996	0.6	1	13
0.44999999999999996	0.7	1	14
0.44999999999999996	0.8	1	12
0.44999999999999996	0.9	1	12
0.44999999999999996	0.999	1	11
0.5	-0.999	2	20
0.5	-0.9	2	19
0.5	-0.8	1	21
0.5	-0.7	1	16
0.5	-0.6	1	16
0.5	-0.5	1	16
0.5	-0.4	1	16
0.5	-0.3	1	14
0.5	-0.2	1	14
0.5	-0.1	1	13
0.5	-0.0	1	14
0.5	0.1	1	13
0.5	0.2	1	13
0.5	0.3	1	14
0.5	0.4	1	14
0.5	0.5	1	13
0.5	0.6	1	13
0.5	0.7	1	13
0.5	0.8	1	13
0.5	0.9	1	10
0.5	0.999	1	13
0.5499999999999999	-0.999	2	22
0.5499999999999999	-0.9	2	19
0.5499999999999999	-0.8	1	17
0.5499999999999999	-0.7	1	16
0.5499999999999999	-0.6	1	15
0.5499999999999999	-0.5	1	17
0.5499999999999999	-0.4	1	16
0.5499999999999999	-0.3	1	15
0.5499999999999999	-0.2	1	16
0.5499999999999999	-0.1	1	15
0.5499999999999999	-0.0	1	14
0.5499999999999999	0.1	1	14
0.5499999999999999	0.2	1	14
0.5499999999999999	0.3	1	14
0.5499999999999999	0.4	1	14
0.5499999999999999	0.5	1	13
0.5499999999999999	0.6	1	14
0.5499999999999999	0.7	1	13
0.5499999999999999	0.8	1	13
0.5499999999999999	0.9	1	12
0.5499999999999999	0.999	1	11
0.6	-0.999	2	19
0.6	-0.9	2	18
0.6	-0.8	2	17
0.6	-0.7	1	17
0.6	-0.6	1	18
0.6	-0.5	1	18
0.6	-0.4	1	16
0.6	-0.3	1	16
0.6	-0.2	1	15
0.6	-0.1	1	15
0.6	-0.0	1	16
0.6	0.1	1	14
0.6	0.2	1	13
0.6	0.3	1	13
0.6	0.4	1	14
0.6	0.5	1	13
0.6	0.6	1	13
0.6	0.7	1	13
0.6	0.8	1	12
0.6	0.9	1	11
0.6	0.999	1	11
0.65	-0.999	2	20
0.65	-0.9	2	17
0.65	-0.8	1	17
0.65	-0.7	1	17
0.65	-0.6	1	17
0.65	-0.5	1	16
0.65	-0.4	1	15
0.65	-0.3	1	17
0.65	-0.2	1	15
0.65	-0.1	1	16
0.65	-0.0	1	14
0.65	0.1	1	14
0.65	0.2	1	14
0.65	0.3	1	15
0.65	0.4	1	14
0.65	0.5	1	13
0.65	0.6	1	12
0.65	0.7	1	14
0.65	0.8	1	14
0.65	0.9	1	11
0.65	0.999	1	11
0.7000000000000001	-0.999	2	21
0.7000000000000001	-0.9	2	18
0.7000000000000001	-0.8	1	18
0.7000000000000001	-0.7	1	17
0.7000000000000001	-0.6	1	18
0.7000000000000001	-0.5	1	15
0.7000000000000001	-0.4	1	16
0.7000000000000001	-0.3	1	16
0.7000000000000001	-0.2	1	17
0.7000000000000001	-0.1	1	14
0.7000000000000001	-0.0	1	15
0.7000000000000001	0.1	1	15
0.7000000000000001	0.2	1	15
0.7000000000000001	0.3	1	13
0.7000000000000001	0.4	1	13
0.7000000000000001	0.5	1	13
0.7000000000000001	0.6	1	13
0.7000000000000001	0.7	1	12
0.7000000000000001	0.8	1	15
0.7000000000000001	0.9	1	11
0.7000000000000001	0.999	1	11
0.7499999999999999	-0.999	2	22
0.7499999999999999	-0.9	2	18
0.7499999999999999	-0.8	1	18
0.7499999999999999	-0.7	1	17
0.7499999999999999	-0.6	1	17
0.7499999999999999	-0.5	1	17
0.7499999999999999	-0.4	1	16
0.7499999999999999	-0.3	1	17
0.7499999999999999	-0.2	1	16
0.7499999999999999	-0.1	1	15
0.7499999999999999	-0.0	1	14
0.7499999999999999	0.1	1	14
0.7499999999999999	0.2	1	15
0.7499999999999999	0.3	1	15
0.7499999999999999	0.4	1	14
0.7499999999999999	0.5	1	15
0.7499999999999999	0.6	1	13
0.7499999999999999	0.7	1	14
0.7499999999999999	0.8	1	12
0.7499999999999999	0.9	1	12
0.7499999999999999	0.999	1	12
0.7999999999999999	-0.999	2	20
0.7999999999999999	-0.9	2	18
0.7999999999999999	-0.8	2	17
0.7999999999999999	-0.7	1	17
0.7999999999999999	-0.6	1	17
0.7999999999999999	-0.5	1	17
0.7999999999999999	-0.4	1	15
0.7999999999999999	-0.3	1	17
0.7999999999999999	-0.2	1	15
0.7999999999999999	-0.1	1	15
0.7999999999999999	-0.0	1	13
0.7999999999999999	0.1	1	15
0.7999999999999999	0.2	1	14
0.7999999999999999	0.3	1	14
0.7999999999999999	0.4	1	13
0.7999999999999999	0.5	1	13
0.7999999999999999	0.6	1	14
0.7999999999999999	0.7	1	13
0.7999999999999999	0.8	1	14
0.7999999999999999	0.9	1	11
0.7999999999999999	0.999	1	11
0.85	-0.999	2	23
0.85	-0.9	2	18
0.85	-0.8	1	17
0.85	-0.7	1	17
0.85	-0.6	1	16
0.85	-0.5	1	17
0.85	-0.4	1	16
0.85	-0.3	1	15
0.85	-0.2	1	17
0.85	-0.1	1	15
0.85	-0.0	1	15
0.85	0.1	1	15
0.85	0.2	1	15
0.85	0.3	1	15
0.85	0.4	1	14
0.85	0.5	1	14
0.85	0.6	1	14
0.85	0.7	1	12
0.85	0.8	1	15
0.85	0.9	1	11
0.85	0.999	1	12
0.8999999999999999	-0.999	2	20
0.8999999999999999	-0.9	2	18
0.8999999999999999	-0.8	2	17
0.8999999999999999	-0.7	1	18
0.8999999999999999	-0.6	1	17
0.8999999999999999	-0.5	1	18
0.8999999999999999	-0.4	1	18
0.8999999999999999	-0.3	1	15
0.8999999999999999	-0.2	1	14
0.8999999999999999	-0.1	1	16
0.8999999999999999	-0.0	1	15
0.8999999999999999	0.1	1	15
0.8999999999999999	0.2	1	15
0.8999999999999999	0.3	1	15
0.8999999999999999	0.4	1	16
0.8999999999999999	0.5	1	13
0.8999999999999999	0.6	1	14
0.8999999999999999	0.7	1	13
0.8999999999999999	0.8	1	15
0.8999999999999999	0.9	1	11
0.8999999999999999	0.999	1	11
0.95	-0.999	2	21
0.95	-0.9	2	18
0.95	-0.8	1	18
0.95	-0.7	1	18
0.95	-0.6	1	16
0.95	-0.5	1	18
0.95	-0.4	1	17
0.95	-0.3	1	16
0.95	-0.2	1	17
0.95	-0.1	1	15
0.95	-0.0	1	16
0.95	0.1	1	15
0.95	0.2	1	13
0.95	0.3	1	16
0.95	0.4	1	14
0.95	0.5	1	14
0.95	0.6	1	13
0.95	0.7	1	13
0.95	0.8	1	11
0.95	0.9	1	11
0.95	0.999	1	12
0.9998999999999999	-0.999	2	26
0.9998999999999999	-0.9	2	21
0.9998999999999999	-0.8	2	20
0.9998999999999999	-0.7	2	19
0.9998999999999999	-0.6	2	20
0.9998999999999999	-0.5	1	19
0.9998999999999999	-0.4	2	19
0.9998999999999999	-0.3	1	19
0.9998999999999999	-0.2	1	17
0.9998999999999999	-0.1	1	17
0.9998999999999999	-0.0	1	16
0.9998999999999999	0.1	1	17
0.9998999999999999	0.2	1	17
0.9998999999999999	0.3	1	16
0.9998999999999999	0.4	1	17
0.9998999999999999	0.5	1	15
0.9998999999999999	0.6	1	16
0.9998999999999999	0.7	1	15
0.9998999999999999	0.8	1	15
0.9998999999999999	0.9	1	14
0.9998999999999999	0.999	1	14
