#a	c	strains	std
0.25	0.7	7.038078	1.879308276388242
0.25	0.8	6.861849	1.808722912074064
0.25	0.9	6.842694	1.8059042288160885
0.25	0.999	6.61686	1.7601843195060294
0.3	-0.999	12.267399	2.674736609289992
0.3	-0.9	12.249364	2.7298144712364327
0.3	-0.8	12.196747	2.663448650140975
0.3	-0.7	12.104686	2.6286109927109003
0.3	-0.6	11.701555	2.5886985694180185
0.3	-0.5	11.29299	2.614164435119887
0.3	-0.4	10.553178	2.5763770566477238
0.3	-0.3	10.174521	2.493154555251039
0.3	-0.2	9.725465	2.5323261927416034
0.3	-0.1	9.508162	2.5328840868184734
0.3	-0.0	8.88213	2.4260718350674275
0.3	0.1	8.609141	2.3339335229070675
0.3	0.2	8.461926	2.448272935063536
0.3	0.3	7.83242	2.084633610319608
0.3	0.4	7.704203	2.1017720029203795
0.3	0.5	7.67882	2.060514900039397
0.3	0.6	7.304769	1.9574188841761047
0.3	0.7	7.048062	1.882298485151222
0.3	0.8	7.093837	1.8556936872834342
0.3	0.9	6.702362	1.8069058873730262
0.3	0.999	6.530424	1.7844813152966392
0.35000000000000003	-0.999	12.159134	2.668989226944738
0.35000000000000003	-0.9	12.107989	2.797589534300359
0.35000000000000003	-0.8	12.192576	2.6351693357809904
0.35000000000000003	-0.7	11.900456	2.6007736841378497
0.35000000000000003	-0.6	11.557518	2.598383811388307
0.35000000000000003	-0.5	11.316552	2.5495213926064935
0.35000000000000003	-0.4	10.548528	2.578550694123195
0.35000000000000003	-0.3	10.26195	2.6157715954865504
0.35000000000000003	-0.2	10.068951	2.6341586319899997
0.35000000000000003	-0.1	9.259954	2.419598266723158
0.35000000000000003	-0.0	8.919292	2.3828096643498777
0.35000000000000003	0.1	8.711573	2.3550380913841695
0.35000000000000003	0.2	8.560545	2.312910645168916
0.35000000000000003	0.3	8.081943	2.213995313117466
0.35000000000000003	0.4	7.785725	2.1823166559607228
0.35000000000000003	0.5	7.652507	2.0939426925160753
0.35000000000000003	0.6	7.315044	1.949255518824484
0.35000000000000003	0.7	7.089627	1.8664467537240235
0.35000000000000003	0.8	6.939424	1.838502632130745
0.35000000000000003	0.9	6.691262	1.8064612120660883
0.35000000000000003	0.999	6.738107	1.8169623985940986
0.39999999999999997	-0.999	11.859667	2.691480427794746
0.39999999999999997	-0.9	12.083495	2.6883561542795773
0.39999999999999997	-0.8	12.122018	2.6428020342239558
0.39999999999999997	-0.7	11.793367	2.5979927930742446
0.39999999999999997	-0.6	11.556564	2.585229041564875
0.39999999999999997	-0.5	11.230628	2.5687735058173424
0.39999999999999997	-0.4	10.763673	2.5912130872336885
0.39999999999999997	-0.3	10.38276	2.6095768990959374
0.39999999999999997	-0.2	9.984707	2.642037491126044
0.39999999999999997	-0.1	9.46811	2.484243385690329
0.39999999999999997	-0.0	9.159945	2.3820684858312067
0.39999999999999997	0.1	8.661635	2.269916579806623
