#a	c	strains	std
0.15	-0.5	5.119979	1.1550200749907626
0.15	-0.4	5.077766	1.1383987636944901
0.15	-0.3	5.064637	1.1396676520243265
0.15	-0.2	4.896409	1.1283559624122794
0.15	-0.1	4.825732	1.1198392376615127
0.15	-0.0	4.804936	1.1567157705728657
0.15	0.099	4.655459	1.1541922853112425
0.15	0.199	4.634683	1.1883189393491214
0.15	0.299	4.616313	1.1559033792439382
0.15	0.399	4.546814	1.184957321388838
0.15	0.499	4.39171	1.187359543576491
0.15	0.599	4.511325	1.2219980514110225
0.15	0.699	4.401857	1.1860334557797203
0.15	0.799	4.354341	1.2357349969745217
0.15	0.899	4.372509	1.210179949203967
0.15	0.999	4.333144	1.1710433154259283
0.19999999999999998	-0.999	5.573443	1.1992437466740462
0.19999999999999998	-0.9	5.494981	1.1693366397194465
0.19999999999999998	-0.8	5.486851	1.1305805508764535
0.19999999999999998	-0.7	5.469326	1.1815517347078761
0.19999999999999998	-0.6	5.258689	1.1361365640144485
0.19999999999999998	-0.5	5.084224	1.1402366499862706
0.19999999999999998	-0.4	4.979051	1.1319900268110485
0.19999999999999998	-0.3	5.000361	1.124326524538686
0.19999999999999998	-0.2	4.855637	1.124199976900204
0.19999999999999998	-0.1	4.859582	1.1841081822990156
0.19999999999999998	-0.0	4.782694	1.1417632880708557
0.19999999999999998	0.1	4.667548	1.1759111575590382
0.19999999999999998	0.199	4.600658	1.1975965102093447
0.19999999999999998	0.299	4.536442	1.1701791956624543
0.19999999999999998	0.4	4.579627	1.1801461492563214
0.19999999999999998	0.499	4.506205	1.217816480860155
0.19999999999999998	0.6	4.400154	1.1613062149601163
0.19999999999999998	0.7	4.33158	1.2065629529304465
0.19999999999999998	0.799	4.368944	1.155455607083918
0.19999999999999998	0.899	4.265169	1.1483769939384385
0.19999999999999998	0.999	4.290116	1.1676609396533117
0.25	-0.999	5.630002	1.229534461390638
0.25	-0.9	5.480226	1.1655240655423937
0.25	-0.8	5.437963	1.140435316545398
0.25	-0.7	5.268486	1.1105388336724733
0.25	-0.6	5.132116	1.1117277537581625
0.25	-0.5	5.169613	1.096945592781476
0.25	-0.4	4.991227	1.1362954394163118
0.25	-0.3	4.996629	1.1398705784691647
0.25	-0.2	4.91442	1.1059445224406956
0.25	-0.1	4.823681	1.1554462104743464
0.25	-0.0	4.738841	1.1787554310259483
0.25	0.1	4.719104	1.1426638800926094
0.25	0.2	4.648077	1.1104037261577706
0.25	0.3	4.557897	1.175721616592461
0.25	0.4	4.575132	1.2004118558072512
0.25	0.5	4.402267	1.1493152664231083
0.25	0.6	4.586936	1.1753593124528636
0.25	0.7	4.349116	1.1932298363414997
0.25	0.8	4.283017	1.173552621290961
0.25	0.9	4.390235	1.2008892900298735
0.25	0.999	4.273334	1.2461131879730591
0.3	-0.999	5.44522	1.1627830853839263
0.3	-0.9	5.446413	1.135741926381196
0.3	-0.8	5.333673	1.1061910109597313
0.3	-0.7	5.371225	1.2080299908228995
0.3	-0.6	5.128567	1.1866351312026298
0.3	-0.5	5.15652	1.146965040938887
0.3	-0.4	5.037263	1.1531590517416184
0.3	-0.3	5.001196	1.1438154911969605
0.3	-0.2	4.971106	1.1726152445615687
0.3	-0.1	4.801235	1.181311504338834
0.3	-0.0	4.810558	1.174082240359416
0.3	0.1	4.761265	1.1198552825463055
0.3	0.2	4.640491	1.1683319921647508
0.3	0.3	4.684989	1.18749925475406
0.3	0.4	4.662254	1.1497134257420976
0.3	0.5	4.476737	1.1996834049283924
0.3	0.6	4.464155	1.1641642887688926
0.3	0.7	4.47105	1.1752358395961064
0.3	0.8	4.351212	1.1831134902450346
0.3	0.9	4.292153	1.166080179205085
0.3	0.999	4.227573	1.207873746969288
0.35000000000000003	-0.999	5.431704	1.2154493546463416
0.35000000000000003	-0.9	5.393492	1.2319632963931384
0.35000000000000003	-0.8	5.29841	1.10833149386866
0.35000000000000003	-0.7	5.317358	1.1210464560306863
0.35000000000000003	-0.6	5.193189	1.1585388869124087
0.35000000000000003	-0.5	5.122439	1.1134877328114294
0.35000000000000003	-0.4	5.114236	1.118766011259798
0.35000000000000003	-0.3	4.91381	1.124942909387875
0.35000000000000003	-0.2	4.97941	1.173938426841733
0.35000000000000003	-0.1	4.781959	1.131644998635284
0.35000000000000003	-0.0	4.802309	1.1402563609560346
0.35000000000000003	0.1	4.666139	1.1431356609935368
0.35000000000000003	0.2	4.683366	1.162156728095468
0.35000000000000003	0.3	4.59814	1.1996182640687056
0.35000000000000003	0.4	4.598299	1.1680473752956877
