#a	c	mean_phenotypic_distance	std
0.15	0.799	0.02190447565827956	0.020830938635047654
0.15	0.899	0.018732518112021677	0.01628170856724533
0.15	0.999	0.015700717047736745	0.00848016712205854
0.19999999999999998	-0.999	0.9942396243347462	0.2159749021122895
0.19999999999999998	-0.9	0.8551903065219719	0.3505398044799471
0.19999999999999998	-0.8	0.730884552994904	0.3937082145219709
0.19999999999999998	-0.7	0.532932696522143	0.41306425063427216
0.19999999999999998	-0.6	0.454630728030254	0.4168025752169677
0.19999999999999998	-0.5	0.3951059147418852	0.391501302888817
0.19999999999999998	-0.4	0.30725098029561965	0.3416806998793219
0.19999999999999998	-0.3	0.2725735997545059	0.3040150990849802
0.19999999999999998	-0.2	0.22565380965951654	0.32332963342278925
0.19999999999999998	-0.1	0.17807721495822815	0.2509491540693629
0.19999999999999998	-0.0	0.17397305795021867	0.26100628533845466
0.19999999999999998	0.1	0.13240326531215982	0.2475454218870054
0.19999999999999998	0.199	0.11696433240018114	0.22982246076772275
0.19999999999999998	0.299	0.08103580215943657	0.1642699679801236
0.19999999999999998	0.4	0.08644786031907262	0.16100408765014895
0.19999999999999998	0.499	0.05507446038120492	0.10739555987701274
0.19999999999999998	0.6	0.04919230890561299	0.09726800821479206
0.19999999999999998	0.7	0.02851874923591117	0.044799533168981505
0.19999999999999998	0.799	0.03428378787511538	0.06817976742790266
0.19999999999999998	0.899	0.01796297678685302	0.014719153551813628
0.19999999999999998	0.999	0.016163843497284558	0.008840408948435984
0.25	-0.999	1.0030775619880314	0.2162958414176669
0.25	-0.9	0.8678367993408357	0.3676092746479235
0.25	-0.8	0.737222066302764	0.40811684045935437
0.25	-0.7	0.641675756274767	0.4139593987831566
0.25	-0.6	0.5296933930936556	0.44321377747144325
0.25	-0.5	0.41809885660265894	0.4044978597214544
0.25	-0.4	0.37136413898546755	0.4438337799156839
0.25	-0.3	0.3068797564546959	0.3531532309964142
0.25	-0.2	0.23105399879631025	0.3210033904539953
0.25	-0.1	0.2541277049670909	0.3263112001417408
0.25	-0.0	0.20513815518671338	0.30483946512858556
0.25	0.1	0.15659976711670842	0.25896325337217335
0.25	0.2	0.12166616941048965	0.23273116415785894
0.25	0.3	0.07647863948419391	0.170429453619663
0.25	0.4	0.06683456491695701	0.1455805621541971
0.25	0.5	0.08701934114576622	0.16530223988935955
0.25	0.6	0.04918698613656247	0.10637417159011892
0.25	0.7	0.026058723294246362	0.034641976273212326
0.25	0.8	0.019876888153619012	0.01799688621846749
0.25	0.9	0.02169487031721495	0.025409215635501248
0.25	0.999	0.016063243760292816	0.008910292566611711
0.3	-0.999	1.0631875523238206	0.2402118268732358
0.3	-0.9	0.8995066976451671	0.3742156594920072
0.3	-0.8	0.7057336104138274	0.4145649182099965
0.3	-0.7	0.6038606167125734	0.41087034716208987
0.3	-0.6	0.616801137303486	0.5084003062676064
0.3	-0.5	0.42103698371007214	0.3999598209229575
0.3	-0.4	0.35730785117637465	0.3643424918881361
0.3	-0.3	0.303000847285369	0.350933943612885
0.3	-0.2	0.22551442233250005	0.29943852400625126
0.3	-0.1	0.24690017644873832	0.3432455867381342
0.3	-0.0	0.20334351063970976	0.3172832434785227
0.3	0.1	0.13771784024082967	0.2281922944304597
0.3	0.2	0.1349600824778656	0.2374719793155616
0.3	0.3	0.07444443370294988	0.1415317485890522
0.3	0.4	0.12785014384932816	0.24054751236879288
0.3	0.5	0.05929336784187343	0.13824113576103927
0.3	0.6	0.05559934498871409	0.12190265510033098
0.3	0.7	0.031791726547038934	0.05185736802749148
0.3	0.8	0.025438855385805422	0.02918863913101317
0.3	0.9	0.022341657365039853	0.0355755393353571
0.3	0.999	0.01585787639144556	0.009107730060389039
0.35000000000000003	-0.999	1.1301581060355839	0.2872961949517588
0.35000000000000003	-0.9	0.9339877055787876	0.38249068638317907
0.35000000000000003	-0.8	0.7699035862637482	0.45857423777331424
0.35000000000000003	-0.7	0.5417427839294172	0.4383626901367199
0.35000000000000003	-0.6	0.534574655719388	0.4717925762732396
0.35000000000000003	-0.5	0.4741339790004249	0.4654500421078192
0.35000000000000003	-0.4	0.3971125122022874	0.396245955720074
0.35000000000000003	-0.3	0.32298887211695043	0.3883469187692442
0.35000000000000003	-0.2	0.29587611861810126	0.3439843743579897
0.35000000000000003	-0.1	0.19564488710313124	0.29331663409763215
0.35000000000000003	-0.0	0.21341253339595845	0.31219036437152436
0.35000000000000003	0.1	0.17555783869994115	0.28504365677950155
0.35000000000000003	0.2	0.13209115345045566	0.21480654737509547
0.35000000000000003	0.3	0.10307937965044693	0.2018834018068452
0.35000000000000003	0.4	0.07974243966746725	0.16793065285394915
0.35000000000000003	0.5	0.0514719020709978	0.11306706278620399
0.35000000000000003	0.6	0.033544149195482605	0.0649423333337105
0.35000000000000003	0.7	0.04130840339089805	0.07694661698404363
0.35000000000000003	0.8	0.029834879613870845	0.05150342446184941
0.35000000000000003	0.9	0.021083434405582815	0.01801630456377677
0.35000000000000003	0.999	0.017065943602719597	0.009889083762199505
0.39999999999999997	-0.999	1.1319710967586996	0.28204483929414015
0.39999999999999997	-0.9	0.988126716282431	0.40148964616836397
