#n_pop	landscape_idx	replicate	t	entropy	haplotype_diversity	nucleotide_diversity	strains	n_maxima	n_minima	maximum	minimum	gamma	mean	var	fitness_wildtype	mean_phenotypic_distance	tg0	n0	tg1	n1	tg2	n2	tg3	n3	tg4	n4	tg5	n5	tg6	n6	tg7	n7	tg8	n8	tg9	n9
1000	0	0	226	0.022332466969064345	0.005985999999999936	0.0059900000000000005	3	3	3	1.001025658625967	0.3665589778775445	0.6440183356287623	0.5125285865736803	0.020198570083226786	0.4315391637306596	0.00955289645160129	27	997	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	227	0.04326961248214279	0.011951999999999963	0.011976000000000002	4	3	3	1.0020284470478251	0.36692618235005353	0.6440183356287619	0.5130420177011031	0.02023905863079395	0.43197146281634086	0.019181489827841854	27	994	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	228	0.022332466969064345	0.005985999999999936	0.0059900000000000005	3	3	3	1.001025658625967	0.3665589778775445	0.6440183356287613	0.5125285865736803	0.02019857008322673	0.4315391637306596	0.00955289645160129	27	997	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	229	0.038139961148217355	0.00996799999999987	0.009986000000000002	5	3	3	1.0019184345392487	0.36688589759576173	0.6440183356287603	0.5129856909176284	0.02023461479011951	0.43192403675334046	0.01896055141130484	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	230	0.04049702375990301	0.011943999999999955	0.011960000000000002	3	3	3	1.0017955275053332	0.36684089108035645	0.6440183356287639	0.5129227620927476	0.020229650665576804	0.43187105189908076	0.016723622914632634	27	994	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	231	0.05438894224505936	0.01590999999999998	0.015948	4	3	3	1.002759758626215	0.36719397650934865	0.6440183356287628	0.5134164517492088	0.02026861160225446	0.432286729047776	0.02658174394371737	27	992	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	232	0.03675366678709747	0.009965999999999949	0.009982	4	3	3	1.0016118766890438	0.3667736412002707	0.6440183356287604	0.5128287322419793	0.020222234279261342	0.4317918805821449	0.01537080883483081	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	233	0.049261303997036564	0.013934000000000002	0.013965999999999998	4	3	3	1.0022937822802693	0.367023343707269	0.6440183356287621	0.5131778702544126	0.020249778578601774	0.4320858480404663	0.021519716508219256	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	234	0.04457917276991235	0.013913999999999982	0.013926000000000001	3	3	3	1.0019692306860901	0.3669044983014538	0.6440183356287609	0.5130116987198454	0.020236666586920582	0.43194593482012805	0.017701457835907944	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	235	0.07679894691268507	0.023786	0.023859999999999996	5	3	3	1.0040395212591011	0.36766260433980863	0.6440183356287621	0.514071694627082	0.020320379862268034	0.4328384308863957	0.038098360765738304	27	988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	236	0.0702890526738361	0.021811999999999943	0.021866000000000003	5	3	3	1.0034655672801926	0.3674524319211054	0.6440183356287619	0.513777828212137	0.020297154423245256	0.4325910010448689	0.032199127403883636	27	989	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	237	0.09933671393976275	0.029705999999999927	0.031827999999999995	7	3	3	1.005337542203436	0.3681379180608097	0.6440183356287634	0.5147362858233319	0.020372954143873634	0.43339800382840404	0.050566207872113154	27	985	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	238	0.06228816115063507	0.017891999999999936	0.017945999999999997	5	3	3	1.0031446909833874	0.3673349323481738	0.6440183356287619	0.5136135384424898	0.02028417573288588	0.43245267223422246	0.02970564275653597	27	991	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	239	0.04465590684326268	0.011953999999999939	0.011980000000000001	5	3	3	1.0024440754925654	0.36707837858655157	0.6440183356287602	0.513254820896992	0.020255851912593825	0.43215063899421435	0.02413987293014413	27	994	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	240	0.05255714086304089	0.013939999999999982	0.013978	6	3	3	1.002588255791156	0.3671311750183173	0.6440183356287618	0.5133286417066903	0.020261679080161354	0.43221279468916984	0.025171015253912035	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	241	0.05064759835815645	0.013935999999999978	0.013970000000000003	5	3	3	1.0024716523125656	0.367088476760225	0.6440183356287613	0.5132689403238571	0.020256966388062514	0.432162527278734	0.023945323608172697	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	242	0.03484412428221303	0.009961999999999919	0.009974	3	3	3	1.0014854948705858	0.3667273622764518	0.6440183356287625	0.5127640243154394	0.02021713138149739	0.43173739775867465	0.013771827529579483	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
